abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses,missing_losses
-0.8,-0.5,36.910807,69423.19999999998,55705.75,44.81006999999999,6427.4744,
-0.8,-0.48,36.873117,69423.19999999998,55648.87,44.840243,6611.755799999999,
-0.8,-0.46,36.844978000000005,69423.19999999998,55606.46,44.869240999999995,6799.9734,
-0.8,-0.44,36.793791,69423.19999999998,55529.189999999995,44.897456999999996,7009.981500000002,
-0.8,-0.42,36.74009800000001,69423.19999999998,55448.15,44.924042,7214.0228,
-0.8,-0.4,36.690915,69423.19999999998,55373.94999999999,44.94927899999999,7408.354900000001,
-0.8,-0.38,36.63980899999999,69423.19999999998,55296.829999999994,44.97415,7603.237,
-0.8,-0.36,36.652533999999996,69423.19999999998,55316.00000000001,44.997742,7700.6741999999995,
-0.8,-0.34,36.72702299999999,69423.19999999998,55428.43000000001,45.020124,7699.295500000001,
-0.8,-0.32,36.789422,69423.19999999998,55522.57000000001,45.041506,7686.946000000001,
-0.8,-0.3,36.83924100000001,69423.19999999998,55597.82,45.06119699999999,7689.720000000001,
-0.8,-0.28,36.889575,69423.19999999998,55673.76,45.079722,7693.950499999998,
-0.8,-0.26,36.952942,69423.19999999998,55769.39,45.097862,7692.2555999999995,
-0.8,-0.24,37.012362,69423.19999999998,55859.04,45.114283,7690.2798999999995,
-0.8,-0.22,37.044313,69423.19999999998,55907.29,45.129123,7702.993299999998,
-0.8,-0.2,37.084525000000006,69423.19999999998,55967.96,45.14313500000001,7714.9856,
-0.8,-0.18,37.130572,69423.19999999998,56037.44,45.15535300000001,7691.199600000001,
-0.8,-0.16,37.173499,69423.19999999998,56102.22,45.166485,7683.4743,
-0.8,-0.14,37.203818000000005,69423.19999999998,56148.009999999995,45.176337999999994,7693.105500000001,
-0.8,-0.12,37.223282000000005,69423.19999999998,56177.4,45.184654,7704.892400000001,
-0.8,-0.1,37.25143600000001,69423.19999999998,56219.89,45.192285,7707.9812999999995,
-0.8,-0.08,37.2696,69423.19999999998,56247.249999999985,45.198440000000005,7721.1269,
-0.8,-0.06,37.29415099999999,69423.19999999998,56284.31999999999,45.203229,7719.5532,
-0.8,-0.04,37.313125,69423.19999999998,56313.00000000001,45.207347,7706.690100000002,
-0.8,-0.02,37.316469000000005,69423.19999999998,56318.01,45.209456,7711.606600000001,
-0.8,0.0,37.315798,69423.19999999998,56317.020000000004,45.209296,7710.8976,
-0.8,0.02,37.32138599999999,69423.19999999998,56325.44999999999,45.208479000000004,7712.9697000000015,
-0.8,0.04,37.32488800000001,69423.19999999998,56330.73999999999,45.206416999999995,7700.686199999998,
-0.8,0.06,37.309658999999996,69423.19999999998,56307.71000000001,45.20280700000001,7708.503200000001,
-0.8,0.08,37.294494,69423.19999999998,56284.85999999999,45.199123,7719.9035,
-0.8,0.1,37.262925,69423.19999999998,56237.200000000004,45.193124000000005,7715.86,
-0.8,0.12,37.244928,69423.19999999998,56210.02,45.18558000000001,7706.2536,
-0.8,0.14,37.195954000000015,69423.19999999998,56136.100000000006,45.177126,7721.6265,
-0.8,0.16,37.17080899999999,69423.19999999998,56098.19,45.167120000000004,7707.858499999999,
-0.8,0.18,37.14427499999999,69423.19999999998,56058.170000000006,45.155553999999995,7701.5311,
-0.8,0.2,37.08778500000001,69423.19999999998,55972.880000000005,45.142716000000014,7725.467499999999,
-0.8,0.22,37.047293,69423.19999999998,55911.759999999995,45.128629000000004,7714.718499999999,
-0.8,0.24,37.000059000000014,69423.19999999998,55840.48,45.11355399999999,7699.3906,
-0.8,0.26,36.951868,69423.19999999998,55767.78,45.097018999999996,7690.155500000001,
-0.8,0.28,36.894208000000006,69423.19999999998,55680.74,45.079672,7685.074100000001,
-0.8,0.3,36.851643,69423.19999999998,55616.51,45.06079199999999,7682.956499999998,
-0.8,0.32,36.789737,69423.19999999998,55523.05000000001,45.040926000000006,7689.7516000000005,
-0.8,0.34,36.695252999999994,69423.19999999998,55380.450000000004,45.01951,7720.8006000000005,
-0.8,0.36,36.626402,69423.19999999998,55276.53999999999,44.997584999999994,7720.6862,
-0.8,0.38,36.614124000000004,69423.19999999998,55258.020000000004,44.974188,7630.6299,
-0.8,0.4,36.660073000000004,69423.19999999998,55327.37,44.949495,7424.886099999999,
-0.8,0.42,36.71101800000001,69423.19999999998,55404.27000000001,44.923461,7218.366800000001,
-0.8,0.44,36.765506,69423.19999999998,55486.48,44.89735400000001,7020.6538,
-0.8,0.46,36.819306,69423.19999999998,55567.72,44.869275,6818.359200000001,
-0.8,0.48,36.846171,69423.19999999998,55608.21999999999,44.840607999999996,6642.911700000001,
-0.8,0.5,36.882768,69423.19999999998,55663.48000000001,44.810746,6447.521599999998,
-0.78,-0.5,37.002759,69423.19999999998,55844.590000000004,44.807566,6425.179,
-0.78,-0.48,36.965371999999995,69423.19999999998,55788.12,44.83799200000001,6613.1927000000005,
-0.78,-0.46,36.935396,69423.19999999998,55742.9,44.867139,6802.4324000000015,
