abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses,missing_losses
-0.8,-0.5,33.772448,69423.19999999998,50969.356999999996,44.81022599999999,9014.0365,
-0.8,-0.48,33.669884999999994,69423.19999999998,50814.59299999999,44.839886,9303.291599999999,
-0.8,-0.46,33.564392,69423.19999999998,50655.375,44.869262000000006,9613.614599999997,
-0.8,-0.44,33.487479,69423.19999999998,50539.309,44.896697,9859.1819,
-0.8,-0.42,33.405769,69423.19999999998,50415.996000000014,44.92353200000001,10112.288,
-0.8,-0.4,33.291157000000005,69423.19999999998,50243.01299999999,44.948871999999994,10403.588800000001,
-0.8,-0.38,33.19302999999999,69423.19999999998,50094.909,44.973531,10653.4229,
-0.8,-0.36,33.072632000000006,69423.19999999998,49913.21399999999,44.997069999999994,10980.994900000002,
-0.8,-0.34,32.863039,69423.19999999998,49596.902,45.01902,11377.897099999998,
-0.8,-0.32,32.68508500000001,69423.19999999998,49328.343,45.040406,11795.0187,
-0.8,-0.3,32.65446,69423.19999999998,49282.112,45.060353,11926.123899999999,
-0.8,-0.28,32.618429,69423.19999999998,49227.733,45.078829999999996,12065.7915,
-0.8,-0.26,32.613189,69423.19999999998,49219.808999999994,45.096843,12180.414299999999,
-0.8,-0.24,32.571203,69423.19999999998,49156.498000000014,45.113389000000005,12357.7524,
-0.8,-0.22,32.526481,69423.19999999998,49088.931000000004,45.128646,12479.046999999997,
-0.8,-0.2,32.521628,69423.19999999998,49081.63600000001,45.142444,12595.0638,
-0.8,-0.18,32.459337,69423.19999999998,48987.64199999999,45.15477100000001,12769.248599999997,
-0.8,-0.16,32.386092000000005,69423.19999999998,48877.106,45.166059999999995,12928.457199999999,
-0.8,-0.14,32.315844,69423.19999999998,48771.08,45.176459,13119.360599999998,
-0.8,-0.12,32.243306000000004,69423.19999999998,48661.55700000001,45.18512899999999,13299.094,
-0.8,-0.1,32.198719,69423.19999999998,48594.319,45.19193200000001,13451.221999999996,
-0.8,-0.08,32.16557399999999,69423.19999999998,48544.30599999999,45.198058,13585.745,
-0.8,-0.06,32.080083,69423.19999999998,48415.242000000006,45.20315299999999,13744.482000000002,
-0.8,-0.04,31.969720999999996,69423.19999999998,48248.725,45.206214,13958.869999999997,
-0.8,-0.02,31.876440000000002,69423.19999999998,48107.933000000005,45.208335,14110.802999999996,
-0.8,0.0,31.761555,69423.19999999998,47934.545,45.208548,14292.564999999999,
-0.8,0.02,31.637272000000003,69423.19999999998,47746.97,45.20862100000001,14533.291,
-0.8,0.04,31.530904000000003,69423.19999999998,47586.414,45.206359000000006,14668.296,
-0.8,0.06,31.443361,69423.19999999998,47454.346999999994,45.20278800000001,14814.879,
-0.8,0.08,31.317753,69423.19999999998,47264.758,45.19789900000001,15001.58,
-0.8,0.1,31.191363999999997,69423.19999999998,47074.022,45.191934999999994,15174.137,
-0.8,0.12,31.041527999999996,69423.19999999998,46847.872,45.183929000000006,15355.829,
-0.8,0.14,30.923622,69423.19999999998,46669.95799999999,45.176285,15516.452,
-0.8,0.16,30.770293,69423.19999999998,46438.55399999999,45.165322999999994,15709.306000000002,
-0.8,0.18,30.682911000000004,69423.19999999998,46306.651999999995,45.154251,15851.711000000003,
-0.8,0.2,30.560410999999995,69423.19999999998,46121.78299999999,45.142436,16010.48,
-0.8,0.22,30.422217000000003,69423.19999999998,45913.189,45.128005,16178.773,
-0.8,0.24,30.252386000000005,69423.19999999998,45656.903999999995,45.113307000000006,16378.025000000001,
-0.8,0.26,30.129323,69423.19999999998,45471.164,45.096685,16535.376,
-0.8,0.28,29.939135,69423.19999999998,45184.134,45.079327,16736.503,
-0.8,0.3,29.813722,69423.19999999998,44994.863,45.059737,16885.918,
-0.8,0.32,29.666713,69423.19999999998,44773.004,45.040117,17061.307,
-0.8,0.34,29.673616999999993,69423.19999999998,44783.42800000001,45.018814000000006,16979.406000000003,
-0.8,0.36,29.685794,69423.19999999998,44801.799999999996,44.997361000000005,16874.516,
-0.8,0.38,29.684401,69423.19999999998,44799.704000000005,44.972982,16786.744,
-0.8,0.4,29.703301,69423.19999999998,44828.22999999999,44.948384000000004,16695.860999999997,
-0.8,0.42,29.711161,69423.19999999998,44840.090000000004,44.92227600000001,16589.367000000002,
-0.8,0.44,29.706914,69423.19999999998,44833.671,44.895604000000006,16494.772999999997,
-0.8,0.46,29.693357000000002,69423.19999999998,44813.210999999996,44.86794200000001,16410.911,
-0.8,0.48,29.665198000000004,69423.19999999998,44770.714,44.839242,16329.408,
-0.8,0.5,29.666488999999995,69423.19999999998,44772.672000000006,44.809067999999996,16216.296000000002,
-0.78,-0.5,33.961538000000004,69423.19999999998,51254.78600000001,44.807973000000004,9021.0709,
-0.78,-0.48,33.874255,69423.19999999998,51123.011000000006,44.838229,9311.815299999998,
-0.78,-0.46,33.796473,69423.19999999998,51005.632,44.86637699999999,9586.6528,
-0.78,-0.44,33.676218,69423.19999999998,50824.157999999996,44.895345,9871.0241,
-0.78,-0.42,33.596931000000005,69423.19999999998,50704.50400000001,44.921063,10148.0494,
-0.78,-0.4,33.472394,69423.19999999998,50516.53799999999,44.947163,10433.230300000003,
-0.78,-0.38,33.400506,69423.19999999998,50408.044,44.97209200000002,10672.692099999998,
-0.78,-0.36,33.268487,69423.19999999998,50208.763,44.995247000000006,10985.6848,
-0.78,-0.34,33.060817,69423.19999999998,49895.383,45.018649999999994,11427.840099999998,
-0.78,-0.32,32.87152999999999,69423.19999999998,49609.706,45.040005,11813.640700000002,
-0.78,-0.3,32.825376999999996,69423.19999999998,49540.052,45.06008100000001,11984.6244,
-0.78,-0.28,32.78838100000001,69423.19999999998,49484.23699999999,45.079652,12104.241399999999,
-0.78,-0.26,32.780294000000005,69423.19999999998,49471.99300000001,45.096689000000005,12246.1207,
-0.78,-0.24,32.778207,69423.19999999998,49468.872,45.113004,12375.743100000002,
-0.78,-0.22,32.736379,69423.19999999998,49405.79,45.128592,12507.476800000004,
-0.78,-0.2,32.721664000000004,69423.19999999998,49383.54000000001,45.14245700000001,12620.033300000001,
-0.78,-0.18,32.642664999999994,69423.19999999998,49264.284,45.15547199999998,12810.812799999998,
-0.78,-0.16,32.595439,69423.19999999998,49193.035,45.166277,12955.513,
-0.78,-0.14,32.514566,69423.19999999998,49070.984,45.176351999999994,13132.905999999999,
-0.78,-0.12,32.450655,69423.19999999998,48974.51999999998,45.185325000000006,13322.882,
-0.78,-0.1,32.379361,69423.19999999998,48866.95,45.192001999999995,13491.728,
-0.78,-0.08,32.327245000000005,69423.19999999998,48788.277,45.19906200000001,13629.491000000002,
-0.78,-0.06,32.27866399999999,69423.19999999998,48714.973000000005,45.203523,13754.774000000001,
-0.78,-0.04,32.154921,69423.19999999998,48528.23,45.20668199999999,13973.007000000001,
-0.78,-0.02,32.078366,69423.19999999998,48412.67100000001,45.209248,14129.313,
-0.78,0.0,31.961676,69423.19999999998,48236.556000000004,45.208322,14303.280999999999,
-0.78,0.02,31.849073999999995,69423.19999999998,48066.658,45.208721,14510.225999999999,
-0.78,0.04,31.74964,69423.19999999998,47916.564,45.206939999999996,14672.823,
-0.78,0.06,31.630922,69423.19999999998,47737.382000000005,45.203599,14849.68,
-0.78,0.08,31.497681,69423.19999999998,47536.350999999995,45.198341000000006,15031.502000000002,
-0.78,0.1,31.390494,69423.19999999998,47374.514,45.192654999999995,15190.155000000002,
-0.78,0.12,31.244754000000004,69423.19999999998,47154.583,45.185042,15371.929,
-0.78,0.14,31.139680000000002,69423.19999999998,46996.018,45.176578,15515.995,
-0.78,0.16,30.993273000000002,69423.19999999998,46775.03999999999,45.166169000000004,15718.81,
-0.78,0.18,30.847769,69423.19999999998,46555.478,45.15511000000001,15890.9,
-0.78,0.2,30.736943000000004,69423.19999999998,46388.186,45.141228,16032.824999999999,
-0.78,0.22,30.627668999999997,69423.19999999998,46223.268,45.12844,16188.928000000002,
-0.78,0.24,30.474197,69423.19999999998,45991.666999999994,45.11290100000001,16351.375000000002,
-0.78,0.26,30.292323,69423.19999999998,45717.186,45.096962000000005,16572.545,
-0.78,0.28,30.151932000000002,69423.19999999998,45505.273,45.078942000000005,16733.055999999997,
-0.78,0.3,29.997439,69423.19999999998,45272.13899999998,45.059142,16893.268,
-0.78,0.32,29.852966999999992,69423.19999999998,45054.084,45.040290000000006,17098.72,
-0.78,0.34,29.873686000000003,69423.19999999998,45085.361999999994,45.01858099999999,16962.870000000003,
-0.78,0.36,29.873245999999995,69423.19999999998,45084.706,44.99545099999999,16871.564000000002,
-0.78,0.38,29.885251000000004,69423.19999999998,45102.83499999999,44.971459,16778.553,
-0.78,0.4,29.885869,69423.19999999998,45103.73100000001,44.946866,16694.547,
-0.78,0.42,29.916081000000005,69423.19999999998,45149.36499999999,44.920947,16578.237,
-0.78,0.44,29.873184,69423.19999999998,45084.627,44.89311699999999,16511.545000000002,
-0.78,0.46,29.874857999999993,69423.19999999998,45087.141,44.86546899999999,16406.664,
-0.78,0.48,29.877298000000003,69423.19999999998,45090.832,44.83639800000001,16285.621000000005,
-0.78,0.5,29.874291999999993,69423.19999999998,45086.289999999986,44.805685999999994,16179.871000000001,
-0.76,-0.5,34.14788199999999,69423.19999999998,51535.975999999995,44.803659999999994,9042.4276,
-0.76,-0.48,34.078931000000004,69423.19999999998,51431.893000000004,44.833690000000004,9291.846000000001,
-0.76,-0.46,33.994856000000006,69423.19999999998,51305.041,44.86485900000001,9596.646600000002,
-0.76,-0.44,33.879611,69423.19999999998,51131.071,44.89151999999999,9870.840799999998,
-0.76,-0.42,33.791422,69423.19999999998,50998.043999999994,44.91914800000001,10141.536900000001,
-0.76,-0.4,33.68535800000001,69423.19999999998,50837.955,44.944909,10422.434,
-0.76,-0.38,33.605489,69423.19999999998,50717.41,44.969497999999994,10679.441700000001,
-0.76,-0.36,33.434881,69423.19999999998,50459.93899999999,44.99432100000001,11029.666999999998,
-0.76,-0.34,33.262176000000004,69423.19999999998,50199.24999999999,45.01617699999999,11427.9917,
-0.76,-0.32,33.058827,69423.19999999998,49892.396000000015,45.03834099999999,11847.562700000002,
-0.76,-0.3,33.035684,69423.19999999998,49857.466,45.057901,11969.403,
-0.76,-0.28,33.027968,69423.19999999998,49845.813,45.077512999999996,12104.161900000003,
-0.76,-0.26,33.015241,69423.19999999998,49826.573,45.09528299999999,12233.090999999999,
-0.76,-0.24,32.944855000000004,69423.19999999998,49720.363000000005,45.111629,12426.7333,
-0.76,-0.22,32.926835,69423.19999999998,49693.16299999999,45.126798,12525.667900000002,
-0.76,-0.2,32.89879199999999,69423.19999999998,49650.897999999994,45.141180000000006,12658.9716,
-0.76,-0.18,32.833998,69423.19999999998,49553.07,45.15432900000001,12820.306000000002,
-0.76,-0.16,32.768687,69423.19999999998,49454.497,45.16599299999999,13007.041000000001,
-0.76,-0.14,32.739645,69423.19999999998,49410.672999999995,45.175583,13118.62,
-0.76,-0.12,32.651624,69423.19999999998,49277.812999999995,45.18432299999999,13337.947,
-0.76,-0.1,32.606913000000006,69423.19999999998,49210.35300000001,45.191998999999996,13480.495,
-0.76,-0.08,32.515307,69423.19999999998,49072.097,45.19761400000001,13661.68,
-0.76,-0.06,32.48983200000001,69423.19999999998,49033.628000000004,45.202200999999995,13748.592000000002,
-0.76,-0.04,32.378076,69423.19999999998,48865.0,45.207062,13966.885999999999,
-0.76,-0.02,32.280799,69423.19999999998,48718.217,45.207927,14131.215999999999,
-0.76,0.0,32.154608,69423.19999999998,48527.723,45.208628,14333.769000000002,
-0.76,0.02,32.02620199999999,69423.19999999998,48333.969999999994,45.207587999999994,14528.474000000002,
-0.76,0.04,31.928578000000005,69423.19999999998,48186.573000000004,45.205849000000015,14685.330000000004,
-0.76,0.06,31.818710000000006,69423.19999999998,48020.797,45.202645999999994,14858.797999999999,
-0.76,0.08,31.695095000000002,69423.19999999998,47834.240999999995,45.197798,15038.465,
-0.76,0.1,31.580341999999998,69423.19999999998,47661.043999999994,45.19170000000001,15200.066,
-0.76,0.12,31.424117999999993,69423.19999999998,47425.28000000001,45.184208,15381.214,
-0.76,0.14,31.316066000000006,69423.19999999998,47262.236,45.176139000000006,15548.234,
-0.76,0.16,31.161367999999996,69423.19999999998,47028.715,45.165459999999996,15748.753,
-0.76,0.18,31.046557000000007,69423.19999999998,46855.45900000001,45.154709000000004,15890.500000000002,
-0.76,0.2,30.907696,69423.19999999998,46645.87899999999,45.141303,16069.651000000003,
-0.76,0.22,30.807067999999997,69423.19999999998,46494.028999999995,45.127359999999996,16183.814,
-0.76,0.24,30.623230000000003,69423.19999999998,46216.593,45.112227,16410.940000000002,
-0.76,0.26,30.484869000000003,69423.19999999998,46007.76,45.094645,16553.655000000002,
-0.76,0.28,30.338507999999997,69423.19999999998,45786.845,45.077906,16742.296,
-0.76,0.3,30.178397999999998,69423.19999999998,45545.232,45.05845999999998,16908.982,
-0.76,0.32,30.042467999999996,69423.19999999998,45340.09699999998,45.037268999999995,17054.290999999997,
-0.76,0.34,30.058997,69423.19999999998,45365.054,45.01636299999999,16972.94,
-0.76,0.36,30.061979,69423.19999999998,45369.543000000005,44.99339,16880.743,
-0.76,0.38,30.057510999999998,69423.19999999998,45362.78700000001,44.96943100000001,16791.186999999998,
-0.76,0.4,30.062303000000004,69423.19999999998,45370.031999999985,44.94374500000001,16688.629,
