abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses,missing_losses
-0.8,-0.5,41.886706000000004,78478.4,63372.280000000006,48.590005000000005,1269.0073760000002,
-0.8,-0.48,41.934827,78478.4,63445.9,48.650257,1340.1496799999998,
-0.8,-0.46,41.997795999999994,78478.4,63537.25,48.71029399999999,1414.29035,
-0.8,-0.44,41.998245000000004,78478.4,63529.27,48.767237,1516.35495,
-0.8,-0.42,42.039491000000005,78478.4,63590.04000000001,48.82425800000001,1598.2288200000003,
-0.8,-0.4,42.087927,78478.4,63662.55,48.884399,1690.7410499999999,
-0.8,-0.38,42.080057999999994,78478.4,63650.37,48.937318000000005,1802.6361,
-0.8,-0.36,42.110964,78478.4,63694.91,48.99343100000001,1911.0666,
-0.8,-0.34,42.06094,78478.4,63612.7,49.045374,2043.9969999999998,
-0.8,-0.32,42.094787,78478.4,63653.56999999999,49.097536,2158.7527,
-0.8,-0.3,42.08226400000001,78478.4,63631.09999999999,49.151199999999996,2307.4089,
-0.8,-0.28,42.03907,78478.4,63564.49000000001,49.199453000000005,2448.3497,
-0.8,-0.26,42.027772,78478.4,63535.420000000006,49.251146,2586.9847000000004,
-0.8,-0.24,41.979710000000004,78478.4,63464.78000000001,49.297095999999996,2756.134,
-0.8,-0.22,41.941095,78478.4,63400.96000000001,49.34303100000001,2892.9974,
-0.8,-0.2,41.91120800000001,78478.4,63348.30000000001,49.38783399999999,3061.0174999999995,
-0.8,-0.18,41.85740500000001,78478.4,63261.08,49.43308100000001,3226.6153,
-0.8,-0.16,41.76859400000001,78478.4,63118.24999999999,49.475452000000004,3420.5127000000007,
-0.8,-0.14,41.718198,78478.4,63040.13,49.516704,3609.4231000000004,
-0.8,-0.12,41.643247,78478.4,62915.36,49.556785000000005,3821.4617,
-0.8,-0.1,41.538675,78478.4,62747.89,49.594839,4042.6362,
-0.8,-0.08,41.453852999999995,78478.4,62614.82000000001,49.63349899999999,4237.695500000001,
-0.8,-0.06,41.35130900000001,78478.4,62451.95,49.66897,4442.7908,
-0.8,-0.04,41.250535,78478.4,62283.09,49.702397999999995,4664.5087,
-0.8,-0.02,41.13037,78478.4,62097.490000000005,49.738289,4878.7323,
-0.8,0.0,40.99858600000001,78478.4,61895.28,49.767469,5119.187600000001,
-0.8,0.02,40.883358,78478.4,61711.44,49.799378,5366.6711000000005,
-0.8,0.04,40.753747000000004,78478.4,61514.86999999999,49.826087,5561.377399999999,
-0.8,0.06,40.60842699999999,78478.4,61292.820000000014,49.853566,5791.882899999999,
-0.8,0.08,40.475113999999984,78478.4,61092.950000000004,49.88132699999999,6018.613799999999,
-0.8,0.1,40.314600000000006,78478.4,60834.740000000005,49.90501899999999,6268.745999999999,
-0.8,0.12,40.169698,78478.4,60621.780000000006,49.928337000000006,6486.248,
-0.8,0.14,40.000980000000006,78478.4,60362.83999999999,49.949647999999996,6736.289,
-0.8,0.16,39.839690999999995,78478.4,60111.57,49.966666999999994,6958.763,
-0.8,0.18,39.693899,78478.4,59885.219999999994,49.987030000000004,7197.534,
-0.8,0.2,39.545719999999996,78478.4,59653.030000000006,50.00419,7417.483,
-0.8,0.22,39.372551,78478.4,59395.24,50.020074,7668.036,
-0.8,0.24,39.17834500000001,78478.4,59090.520000000004,50.035688,7928.923,
-0.8,0.26,38.99108599999999,78478.4,58804.159999999996,50.047633,8164.9299999999985,
-0.8,0.28,38.812157,78478.4,58527.6,50.057534000000004,8404.882,
-0.8,0.3,38.666078999999996,78478.4,58303.46,50.067509,8619.297,
-0.8,0.32,38.465447,78478.4,57991.000000000015,50.078644,8903.386,
-0.8,0.34,38.233101,78478.4,57626.78,50.083192000000004,9123.609999999999,
-0.8,0.36,38.061906,78478.4,57381.04000000001,50.090016999999996,9362.076000000003,
-0.8,0.38,37.84357700000001,78478.4,57046.229999999996,50.092620000000004,9588.482,
-0.8,0.4,37.678256000000005,78478.4,56802.71,50.097373,9795.714,
-0.8,0.42,37.487383,78478.4,56513.43,50.097556999999995,10012.649000000001,
-0.8,0.44,37.274726,78478.4,56196.92,50.099830999999995,10232.498999999998,
-0.8,0.46,37.08669199999999,78478.4,55912.01,50.09756300000001,10417.923,
-0.8,0.48,36.887166,78478.4,55623.520000000004,50.096953000000006,10592.693000000001,
-0.8,0.5,36.68186,78478.4,55310.67,50.093604000000006,10800.253999999999,
-0.78,-0.5,42.135293000000004,78478.4,63740.02,48.632183999999995,1283.2270039999999,
-0.78,-0.48,42.169312999999995,78478.4,63789.81,48.69335999999999,1386.6252300000003,
-0.78,-0.46,42.232161999999995,78478.4,63881.740000000005,48.754862,1464.78602,
-0.78,-0.44,42.256313999999996,78478.4,63921.170000000006,48.813373,1550.6192199999998,
-0.78,-0.42,42.27157100000001,78478.4,63940.09,48.872249000000004,1668.3989200000003,
-0.78,-0.4,42.27001899999999,78478.4,63931.55,48.927728,1780.30532,
-0.78,-0.38,42.319953,78478.4,64009.22000000001,48.98290600000001,1870.3044000000002,
-0.78,-0.36,42.32996399999999,78478.4,64012.51,49.040617,1993.6584999999998,
-0.78,-0.34,42.303799999999995,78478.4,63972.89999999999,49.09351600000001,2136.9242,
-0.78,-0.32,42.305144,78478.4,63957.810000000005,49.147082,2275.016,
-0.78,-0.3,42.255922,78478.4,63878.32,49.19742599999999,2426.1857999999993,
-0.78,-0.28,42.234715,78478.4,63840.270000000004,49.248727,2582.9236,
-0.78,-0.26,42.214647,78478.4,63806.16999999999,49.298065,2734.7443000000003,
-0.78,-0.24,42.183296000000006,78478.4,63751.17999999999,49.34786599999999,2909.8439,
-0.78,-0.22,42.126987,78478.4,63662.13,49.392181,3069.279,
-0.78,-0.2,42.100578,78478.4,63618.35,49.43951199999999,3246.6473,
-0.78,-0.18,42.032281000000005,78478.4,63509.14,49.48325499999999,3416.1803000000004,
-0.78,-0.16,41.940940999999995,78478.4,63362.54,49.525851,3629.1892,
-0.78,-0.14,41.879158000000004,78478.4,63268.17,49.565343999999996,3801.5868,
-0.78,-0.12,41.78893899999999,78478.4,63125.87999999999,49.607913,4023.3521999999994,
-0.78,-0.1,41.680884,78478.4,62947.9,49.645573000000006,4262.194399999999,
-0.78,-0.08,41.571923999999996,78478.4,62776.07000000001,49.68513099999999,4487.1272,
-0.78,-0.06,41.479048999999996,78478.4,62627.619999999995,49.719485,4697.690099999999,
