abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses
-0.7,-0.4,0.8207592307692307,1509.1999999999985,1254.8627472527476,0.9000238681318682,40.346576593406596
-0.7,-0.38,0.8211531648351648,1509.1999999999985,1257.5624175824173,0.9004100329670328,40.45861516483516
-0.7,-0.36,0.8223550549450548,1509.1999999999985,1260.0865934065932,0.9007687252747254,40.47192995604397
-0.7,-0.34,0.8240315714285716,1509.1999999999985,1262.9671428571426,0.9012130879120881,40.313446153846144
-0.7,-0.32,0.8262635164835166,1509.1999999999985,1266.3369230769229,0.9016373076923074,39.888711230769225
-0.7,-0.3,0.8275367472527472,1509.1999999999985,1268.5613186813184,0.9020854835164835,39.848103340659335
-0.7,-0.28,0.8282627032967028,1509.1999999999985,1270.0820879120881,0.9024322527472525,39.681219604395615
-0.7,-0.26,0.8292135714285713,1509.1999999999985,1271.9625274725277,0.9027369120879121,39.60739843956042
-0.7,-0.24,0.8307039010989016,1509.1999999999985,1273.6590109890112,0.9029835714285714,39.46081545054945
-0.7,-0.22,0.8318493516483518,1509.1999999999985,1275.2680219780218,0.9032069120879119,39.506117890109905
-0.7,-0.2,0.8325478021978021,1509.1999999999985,1276.9007692307687,0.9034594505494505,39.45786202197803
-0.7,-0.18,0.8336399120879117,1509.1999999999985,1278.3814285714284,0.9035874505494508,38.955716989010995
-0.7,-0.16,0.834385604395604,1509.1999999999985,1279.6274725274725,0.9037817142857143,38.99554123076923
-0.7,-0.14,0.8351577032967031,1509.1999999999985,1280.99021978022,0.9039346153846155,38.79281202197804
-0.7,-0.12,0.8354338901098903,1509.1999999999985,1281.8375824175828,0.9040925384615384,38.57447413186812
-0.7,-0.1,0.8361605934065934,1509.1999999999985,1283.0600000000006,0.9042864725274725,38.562329999999996
-0.7,-0.08,0.8367811538461536,1509.1999999999985,1283.7752747252748,0.9043181648351647,38.346017054945044
-0.7,-0.06,0.8374702417582415,1509.1999999999985,1284.9420879120878,0.9044194945054946,38.197188263736265
-0.7,-0.04,0.8375960549450547,1509.1999999999985,1285.4678021978018,0.9045065054945053,38.012194571428566
-0.7,-0.02,0.837960175824176,1509.1999999999985,1285.0590109890106,0.9045006923076923,38.13822063736265
-0.7,0.0,0.837766813186813,1509.1999999999985,1285.0327472527476,0.9045136593406592,38.10960375824176
-0.7,0.02,0.8373320549450546,1509.1999999999985,1284.6495604395604,0.9044489120879123,38.23286364835166
-0.7,0.04,0.837787846153846,1509.1999999999985,1284.8886813186812,0.9044345274725274,38.01345338461538
-0.7,0.06,0.8375318461538459,1509.1999999999985,1284.3072527472534,0.9043794285714287,38.23649057142856
-0.7,0.08,0.8367461538461536,1509.1999999999985,1284.0269230769236,0.9042516373626375,37.950827824175825
-0.7,0.1,0.8363333186813183,1509.1999999999985,1283.13010989011,0.904094340659341,37.906624835164834
-0.7,0.12,0.8355377472527472,1509.1999999999985,1281.9468131868136,0.9039485494505494,38.12772507692308
-0.7,0.14,0.8348350549450552,1509.1999999999985,1280.4912087912091,0.9038014505494502,38.302785978021966
-0.7,0.16,0.8340710659340659,1509.1999999999985,1279.3130769230772,0.9036386153846154,38.38403039560439
-0.7,0.18,0.833503945054945,1509.1999999999985,1277.925054945055,0.9034451428571427,38.306885450549466
-0.7,0.2,0.8323231868131865,1509.1999999999985,1276.1870329670328,0.9032492527472531,38.714381186813185
-0.7,0.22,0.8314576043956045,1509.1999999999985,1274.956593406593,0.9030755494505496,38.64384986813188
-0.7,0.24,0.830011769230769,1509.1999999999985,1272.8020879120877,0.9028422197802193,38.72476538461538
-0.7,0.26,0.8286521098901101,1509.1999999999985,1270.8414285714284,0.9025609230769229,39.03689885714285
-0.7,0.28,0.8268773516483515,1509.1999999999985,1268.5185714285717,0.902232010989011,39.262458461538465
-0.7,0.3,0.8252458021978022,1509.1999999999985,1266.5821978021977,0.9019486153846155,39.50563428571428
-0.7,0.32,0.8238107472527472,1509.1999999999985,1264.5151648351648,0.9016034505494505,39.760643428571434
-0.7,0.34,0.8225067142857144,1509.1999999999985,1262.4509890109894,0.9012665054945054,39.83614052747253
-0.7,0.36,0.8208686703296704,1509.1999999999985,1260.74,0.900883648351648,39.96433006593406
-0.7,0.38,0.8201364065934061,1509.1999999999985,1258.7013186813192,0.9004402307692304,39.93094953846153
-0.7,0.4,0.8195031428571431,1509.1999999999985,1256.5264835164842,0.9000089340659341,39.33375747252748
-0.68,-0.4,0.8225402417582418,1509.1999999999985,1257.54032967033,0.9018704285714285,42.404726791208795
-0.68,-0.38,0.8230706483516483,1509.1999999999985,1260.1245054945055,0.9022673956043955,42.4868925934066
-0.68,-0.36,0.8242516153846153,1509.1999999999985,1262.6235164835164,0.9026290000000003,42.56714887912089
-0.68,-0.34,0.8259072197802197,1509.1999999999985,1265.6497802197805,0.9030716923076918,42.27509472527475
-0.68,-0.32,0.8281708241758247,1509.1999999999985,1268.89032967033,0.9035114505494506,41.77596134065935
-0.68,-0.3,0.8294704945054946,1509.1999999999985,1271.0628571428574,0.9039760439560443,41.71329516483518
-0.68,-0.28,0.8303384285714287,1509.1999999999985,1272.5384615384614,0.9043145824175823,41.62334105494506
-0.68,-0.26,0.8311952747252748,1509.1999999999985,1274.3635164835164,0.9046318351648351,41.69779630769231
-0.68,-0.24,0.832727307692308,1509.1999999999985,1276.2916483516485,0.9048728131868127,41.47919197802198
-0.68,-0.22,0.8339055714285715,1509.1999999999985,1278.0756043956046,0.9050998131868134,41.39296408791208
