abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses
-0.7,-0.4,0.8617609807692307,1509.1999999999985,1301.3505769230774,0.944226653846154,15.792922942307694
-0.7,-0.38,0.8628630769230767,1509.1999999999985,1302.9717307692308,0.9453378076923075,17.68677511538461
-0.7,-0.36,0.8637356730769233,1509.1999999999985,1304.4374999999998,0.9464288076923076,19.525993826923077
-0.7,-0.34,0.8640097115384615,1509.1999999999985,1304.9553846153844,0.947499,21.433843423076926
-0.7,-0.32,0.8639405192307694,1509.1999999999985,1304.805384615385,0.9485340192307693,23.64176598076924
-0.7,-0.3,0.8640839807692304,1509.1999999999985,1305.083653846154,0.9495528076923077,25.64436230769231
-0.7,-0.28,0.8642293269230771,1509.1999999999985,1305.3242307692308,0.9505330384615382,27.277358653846157
-0.7,-0.26,0.8645682692307695,1509.1999999999985,1305.8776923076928,0.9514916346153846,28.95829
-0.7,-0.24,0.8647219807692305,1509.1999999999985,1306.1451923076927,0.9524376923076924,31.015438653846154
-0.7,-0.22,0.8648434423076924,1509.1999999999985,1306.5680769230771,0.9533674038461536,32.82503480769231
-0.7,-0.2,0.8647320192307693,1509.1999999999985,1306.378846153846,0.95427275,34.88255961538461
-0.7,-0.18,0.864032423076923,1509.1999999999985,1305.3753846153845,0.9551503076923076,36.4464230769231
-0.7,-0.16,0.8637480192307692,1509.1999999999985,1304.9128846153847,0.9560170961538461,38.22824807692307
-0.7,-0.14,0.863573269230769,1509.1999999999985,1304.821346153846,0.9568365192307693,39.92020576923076
-0.7,-0.12,0.8631736538461543,1509.1999999999985,1304.2315384615383,0.9576353269230767,41.930571153846145
-0.7,-0.1,0.8629268653846152,1509.1999999999985,1303.8676923076926,0.9584174038461541,43.96794423076923
-0.7,-0.08,0.8624349615384612,1509.1999999999985,1303.108846153846,0.9591907499999996,46.321473076923084
-0.7,-0.06,0.86161875,1509.1999999999985,1301.927692307692,0.9599339615384616,48.306661538461526
-0.7,-0.04,0.861469634615385,1509.1999999999985,1301.7851923076923,0.960595807692308,49.697728846153865
-0.7,-0.02,0.8608949423076921,1509.1999999999985,1301.0009615384615,0.9612190192307691,51.24479423076923
-0.7,0.0,0.8602581538461538,1509.1999999999985,1300.113076923077,0.9618147884615383,52.93954038461539
-0.7,0.02,0.8597364423076921,1509.1999999999985,1299.2967307692306,0.9624062499999998,54.54096730769231
-0.7,0.04,0.8590375192307693,1509.1999999999985,1298.2728846153846,0.962946153846154,56.31589807692307
-0.7,0.06,0.8584321730769227,1509.1999999999985,1297.3225000000004,0.9634666346153847,57.81009038461539
-0.7,0.08,0.8576530384615383,1509.1999999999985,1296.1967307692307,0.963906346153846,59.04669807692308
-0.7,0.1,0.8568199615384618,1509.1999999999985,1294.9284615384615,0.9643336730769231,60.10635384615385
-0.7,0.12,0.8558239038461538,1509.1999999999985,1293.5405769230767,0.964756673076923,61.62438076923076
-0.7,0.14,0.8552839807692307,1509.1999999999985,1292.7974999999997,0.9651887884615387,62.8332423076923
-0.7,0.16,0.8543710384615384,1509.1999999999985,1291.539615384615,0.9655504423076925,63.86084615384614
-0.7,0.18,0.85390275,1509.1999999999985,1290.8761538461538,0.965910096153846,64.61735576923077
-0.7,0.2,0.8535464423076923,1509.1999999999985,1290.3849999999995,0.9662520384615383,64.85316346153846
-0.7,0.22,0.8533081153846154,1509.1999999999985,1290.1319230769232,0.9665549615384614,65.4851769230769
-0.7,0.24,0.8524939423076923,1509.1999999999985,1288.949807692308,0.9667963653846152,65.9239576923077
-0.7,0.26,0.8512215961538457,1509.1999999999985,1286.9661538461542,0.9670323269230767,66.84742307692308
-0.7,0.28,0.85053975,1509.1999999999985,1286.0109615384613,0.9672565,66.7032826923077
-0.7,0.3,0.8496295192307692,1509.1999999999985,1284.5275000000001,0.9674718653846154,67.38366538461538
-0.7,0.32,0.8481862115384617,1509.1999999999985,1282.3138461538463,0.9676033846153848,67.7556153846154
-0.7,0.34,0.8465285769230768,1509.1999999999985,1279.7009615384616,0.9677568076923079,68.5896076923077
-0.7,0.36,0.8450563653846153,1509.1999999999985,1277.2324999999998,0.9678700192307692,69.309825
-0.7,0.38,0.8432018846153846,1509.1999999999985,1274.3286538461539,0.9679281153846152,69.71530384615384
-0.7,0.4,0.8411085192307692,1509.1999999999985,1271.391923076923,0.9679790769230769,69.73530192307692
-0.68,-0.4,0.8649693653846156,1509.1999999999985,1305.9399999999996,0.9450677307692306,16.66069080769231
-0.68,-0.38,0.8658861730769232,1509.1999999999985,1307.3149999999998,0.9461826538461539,18.565601730769238
-0.68,-0.36,0.8667217692307692,1509.1999999999985,1308.7717307692308,0.9472908269230769,20.59527334615385
-0.68,-0.34,0.8669489615384615,1509.1999999999985,1309.2286538461542,0.94838475,22.781883942307694
-0.68,-0.32,0.8670092499999998,1509.1999999999985,1309.3344230769228,0.9494236923076922,25.035520519230772
-0.68,-0.3,0.8671005192307693,1509.1999999999985,1309.512307692308,0.9504578846153843,27.185246346153843
-0.68,-0.28,0.8669023076923078,1509.1999999999985,1309.1711538461534,0.9514383846153845,28.97697346153846
-0.68,-0.26,0.8669760961538464,1509.1999999999985,1309.2815384615385,0.9523950384615383,30.795535576923065
-0.68,-0.24,0.8667876346153847,1509.1999999999985,1309.0815384615382,0.9533248076923072,32.97944288461538
-0.68,-0.22,0.866824326923077,1509.1999999999985,1309.3686538461536,0.9542505384615385,34.90058557692309
-0.68,-0.2,0.8663493846153845,1509.1999999999985,1308.6828846153844,0.9551514038461536,37.275378846153856
