abs_x,abs_y,efficiency,potential_flux,absorbed_flux,cos_factor,shadow_losses
-0.7,-0.4,0.7727139780219783,1509.1999999999985,1219.2252747252749,0.9000545054945054,68.80442725274726
-0.7,-0.38,0.772197120879121,1509.1999999999985,1220.4680219780219,0.9005380659340655,69.5721268131868
-0.7,-0.36,0.7717692197802196,1509.1999999999985,1222.874505494506,0.9008197142857144,69.63446307692307
-0.7,-0.34,0.7705785604395604,1509.1999999999985,1224.0608791208783,0.9014049450549447,71.22049384615384
-0.7,-0.32,0.7704801868131865,1509.1999999999985,1225.236923076923,0.9015314065934067,71.78558989010989
-0.7,-0.3,0.7714739340659342,1509.1999999999985,1228.4632967032965,0.9019363076923079,70.54005582417584
-0.7,-0.28,0.7724628901098901,1509.1999999999985,1231.2443956043955,0.9025324835164837,70.94259120879121
-0.7,-0.26,0.7739021318681317,1509.1999999999985,1232.3815384615389,0.9026542637362633,70.74940043956042
-0.7,-0.24,0.7753550549450551,1509.1999999999985,1235.222967032967,0.9029470219780221,70.12953406593407
-0.7,-0.22,0.7764609010989006,1509.1999999999985,1236.2174725274729,0.9033281758241757,71.14215340659341
-0.7,-0.2,0.7772589010989007,1509.1999999999985,1237.5168131868138,0.9032618571428568,70.40871384615384
-0.7,-0.18,0.7794997582417582,1509.1999999999985,1239.9496703296702,0.903702021978022,69.69795340659344
-0.7,-0.16,0.7793446813186815,1509.1999999999985,1240.7515384615385,0.9038945164835164,70.28714131868134
-0.7,-0.14,0.7795383736263739,1509.1999999999985,1240.0378021978024,0.9040365384615386,71.51325582417581
-0.7,-0.12,0.7804836923076919,1509.1999999999985,1242.7367032967031,0.9041105384615385,70.29878615384615
-0.7,-0.1,0.7814067032967034,1509.1999999999985,1243.069010989011,0.9041757142857141,70.45843692307693
-0.7,-0.08,0.7835355054945057,1509.1999999999985,1245.4048351648348,0.904540989010989,70.30414285714285
-0.7,-0.06,0.7822006813186813,1509.1999999999985,1244.788571428572,0.9042808021978018,70.19330197802199
-0.7,-0.04,0.7834717472527476,1509.1999999999985,1246.413076923077,0.90451489010989,69.58014835164836
-0.7,-0.02,0.7833412197802196,1509.1999999999985,1246.5252747252744,0.904574824175824,69.45540571428573
-0.7,0.0,0.7828916153846152,1509.1999999999985,1246.2284615384615,0.9046074835164833,70.6826276923077
-0.7,0.02,0.7832408461538464,1509.1999999999985,1246.595714285714,0.9045395054945051,69.74334637362638
-0.7,0.04,0.7836222747252747,1509.1999999999985,1246.672857142857,0.9044642087912089,69.71763120879123
-0.7,0.06,0.781930120879121,1509.1999999999985,1245.5998901098897,0.9044454065934062,70.3348632967033
-0.7,0.08,0.7824381318681316,1509.1999999999985,1245.4512087912087,0.9044556923076926,70.05124109890109
-0.7,0.1,0.78202532967033,1509.1999999999985,1245.3757142857144,0.9043042197802198,70.00764307692309
